,Large Growth,Large Value,Small Growth,Small Value,MLPs,REITs,Foreign Growth,Foreign Value,Emerging Markets,High Yield,ST Inv Grade,Int Inv Grade,LT Inv Grade,TIPS,ST Treasury,Int Treasury,LT Treasury
,VIGRX,VIVAX,VISGX,VISVX,AMLP,VGISX,VWIGX,VTRIX,VEIEX,VWEHX,VFSTX,VFICX,VWESX,VIPSX,VFISX,VFITX,VUSTX
,Vanguard Index Trust Growth Index Fund,Vanguard Index Trust Value Index Fund,Vanguard Index Trust Small-Cap Growth Index Fund,Vanguard Index Trust Small-Cap Value Index Fund,Alerian MLP ETF,Virtus Duff & Phelps Global Real Estate Securities Fund I,Vanguard International Growth Fund,Vanguard International Value Fund,Vanguard Emerging Markets Stock Index Fund,Vanguard High Yield Corporate Fund,Vanguard Short-Term Investment Grade Fund Investor Shrs,Vanguard Intermediate-Term Investment Grade Fund Investor Shrs,Vanguard Long-Term Investment Grade Fund Investor Shrs,Vanguard Inflation Protected Securities Fund,Vanguard Short-Term Treasury Fund,Vanguard Intermediate-Term Treasury Fund,Vanguard Long-Term Treasury Fund
7/20/90,,,,,,,-0.30557513,-0.5638063,,0,0.096428394,,0.12562275,,,,0.21321774
7/23/90,,,,,,,-0.2298832,-0.2984166,,0,0,,0.12546778,,,,0
7/24/90,,,,,,,-0.8448601,-0.35917163,,0,0,,-0.37594438,,,,-0.42552948
7/25/90,,,,,,,0.23237467,0.27035475,,-0.13716817,0,,0,,,,0.32051802
7/26/90,,,,,,,-0.5409539,-0.47932863,,0,0,,0.25156736,,,,0.10648966
7/27/90,,,,,,,0.31080246,0.5117297,,0,0.09634495,,0.37641525,,,,0.53191185
7/30/90,,,,,,,0,-0.14974475,,0.13736486,0.19248724,,0.75000525,,,,0.95238686
7/31/90,,,,,,,1.471734,1.4697075,,-0.27434826,0.096058846,,0.12406111,,,,-0.31446218
8/01/90,,,,,,,-0.61068535,-0.5616367,,0.1375556,0.0959754,,0.4956603,,,,0.63090324
8/02/90,,,,,,,-1.382488,-1.5160501,,-0.13736486,-0.19176006,,-0.8631289,,,,-1.1494219
8/03/90,,,,,,,-2.1028101,-1.8110514,,-0.41265488,0.19212961,,-0.621891,,,,-0.7399559
8/06/90,,,,,,,-3.739053,-3.1048238,,-0.96684694,-0.2876401,,-2.0025015,,,,-2.3429215
8/07/90,,,,,,,-0.49586892,-0.47588944,,-0.4184127,-0.28845668,,-0.6385684,,,,-0.327152
8/08/90,,,,,,,0.16611814,-0.286901,,-0.42016506,0,,0,,,,-0.109410286
8/09/90,,,,,,,0.08291006,0,,-0.14064908,0.096428394,,0.3856063,,,,0.76669455
8/10/90,,,,,,,0,-0.095909834,,0,0,,-0.25607944,,,,-0.2173841
8/13/90,,,,,,,-1.8226981,-1.376003,,-0.14083982,0.09634495,,0.12837648,,,,-0.21787286
8/14/90,,,,,,,1.2658238,0.9409547,,0,0,,-0.12820959,,,,0.10917187
8/15/90,,,,,,,2.6666641,1.7036319,,0,0,,0.5134821,,,,0.32714605
8/16/90,,,,,,,-0.6493509,-0.15802383,,0,-0.28874874,,-0.7662833,,,,-1.1956513
8/17/90,,,,,,,-1.9607842,-1.8043697,,-0.56417584,0,,-0.51479936,,,,-0.22002459
8/20/90,,,,,,,-1.2499988,-1.6440988,,-0.14184713,0,,-0.12937188,,,,0.11025667
8/21/90,,,,,,,-2.7848065,-1.8682361,,-1.7045438,-0.0965178,,-0.12953281,,,,-0.11013746
8/22/90,,,,,,,-0.34723282,-0.3340006,,-0.14451146,-0.09661913,,-0.25940537,,,,-0.77177286
8/23/90,,,,,,,-3.1358838,-2.0777524,,-0.4341483,-0.0967145,,-1.0403097,,,,-0.77777505
8/24/90,,,,,,,1.5287757,0.205338,,-0.87209344,-0.096809864,,-0.39421916,,,,-0.33595562
8/27/90,,,,,,,4.0744066,2.6297808,,0.14662743,0.19379854,,1.3192654,,,,1.2359619
8/28/90,,,,,,,1.0212779,1.0316133,,0.14641285,-0.0967145,,-0.13020635,,,,-0.33296943
8/29/90,,,,,,,-0.9267032,-0.65876245,,0,0.096809864,,0.5215168,,,,0.89087486
8/30/90,,,,,,,0.7653117,0.36472082,,-0.14620423,0.0967145,,0,,,,-0.22075772
8/31/90,,,,,,,-0.33755302,-0.528574,,0,0,,0,,,,0
9/04/90,,,,,,,-2.116853,-1.9594848,,-0.2928257,0,,-0.38910508,,,,-0.33185482
