Date,GSCI Energy,GSCI Ind Metals,GSCI Precious Metals,GSCI Agriculture,GSCI Livestock
19901210,479.8214,538.4773,425.3078,740.3167,2763.555
19901211,468.3698,536.0879,423.9997,742.58,2764.21
19901212,449.6452,543.4219,423.8754,742.4053,2759.832
19901213,460.0096,542.5288,424.9557,736.5568,2745.957
19901214,462.4622,538.8915,426.253,738.8302,2772.063
19901217,466.5613,541.6982,427.0167,739.9497,2783.01
19901218,476.4979,541.3019,426.0175,734.4037,2772.972
19901219,480.7318,543.9015,436.7378,730.2246,2777.143
19901220,475.5384,549.7485,436.8395,729.0444,2771.536
19901221,471.8477,550.852,431.6251,727.0173,2767.362
19901224,472.1167,551.166,431.8712,729.3671,2766.534
19901225,472.1167,551.166,431.8712,729.3671,2766.534
19901226,488.9501,555.6175,435.3575,735.8022,2783.811
19901227,487.9368,555.719,435.0665,727.9545,2779.613
19901228,494.1201,570.8264,444.3832,725.8601,2783.538
19901231,505.2129,584.9021,444.4499,724.7539,2781.683
19910101,505.2129,584.9021,444.4499,724.7539,2781.683
19910102,473.1526,597.3817,439.3976,720.5053,2761.835
19910103,455.5457,582.4686,438.7418,720.0857,2781.435
19910104,445.0361,580.5717,436.6058,721.096,2802.381
19910107,494.7931,585.3998,446.2584,722.0044,2826.87
19910108,484.5907,577.82,440.5883,711.8891,2835.514
19910109,497.532,577.3494,441.568,713.7939,2833.852
19910110,500.2609,573.1822,441.2243,715.2937,2826.593
19910111,493.7843,573.0487,443.4915,711.6683,2824.078
19910114,556.8965,566.4444,451.5576,708.4549,2781.64
19910115,536.6326,557.1842,449.8695,708.7971,2789.106
19910116,564.6033,549.3025,454.0648,714.0923,2804.275
19910117,398.547,560.0714,424.5054,723.9612,2841.869
19910118,376.2633,562.1199,424.6549,723.2362,2847.262
19910121,395.4633,561.6769,428.4779,718.4745,2847.076
19910122,420.9773,553.9616,428.9793,721.0037,2822.026
19910123,422.8954,544.0325,426.259,718.9761,2846.408
19910124,418.9464,539.2486,418.4664,718.5876,2901.817
19910125,415.4196,543.8116,421.9768,724.5945,2905.9
19910128,408.8855,546.0003,421.9049,724.5694,2918.547
19910129,422.7902,542.0278,422.149,727.3734,2894.954
19910130,409.9416,542.6899,414.2024,727.5652,2905.005
19910131,416.6128,545.0522,412.4818,731.0613,2898.203
19910201,411.0375,544.7186,412.9937,732.7902,2898.887
19910204,408.2783,545.7711,415.5963,735.3394,2926.104
19910205,406.7697,545.6319,412.1797,733.1348,2881.601
19910206,421.6849,549.0711,408.323,726.0486,2890.717
19910207,415.6725,551.889,413.0534,722.7601,2869.173
19910208,425.0937,558.2215,415.767,728.5682,2872.171
19910211,438.1804,559.6191,411.3154,724.8461,2872.669
19910212,442.5025,563.3511,412.6132,724.9302,2884.184
19910213,433.8406,562.4727,412.6453,730.4293,2883.889
19910214,427.5971,560.9882,414.7439,734.2543,2898.837
19910215,401.6845,563.9682,410.6786,736.5882,2903.438
19910218,401.6845,563.9682,410.6786,736.5882,2903.438
19910219,397.6719,559.3991,409.783,739.4728,2923.791
19910220,412.3291,559.1455,409.9068,735.4657,2923.748
19910221,396.4163,563.1924,407.2325,734.0374,2899.439
19910222,388.666,562.6366,400.9084,732.8943,2915.528
19910225,391.0214,569.0228,403.6815,738.3616,2923.172
19910226,400.1197,571.6603,404.3941,739.8287,2962.195
19910227,410.1948,575.9972,408.9173,739.8287,2957.916
19910228,412.9717,577.9499,416.7974,749.7284,3004.072
19910301,414.9778,576.3709,416.9988,766.5002,3000.587
19910304,434.2518,574.0129,418.6271,769.7283,3005.793
19910305,441.0462,574.8972,414.4824,774.7607,3055.603
19910306,433.3852,574.1688,416.3238,771.7718,3053.914
19910307,428.44,572.4203,418.0442,770.424,3086.337
19910308,426.211,571.5197,423.7182,770.5211,3115.373
19910311,424.0497,562.6467,418.8967,761.8836,3099.547
19910312,433.97,565.8385,417.2289,770.7466,3099.568
19910313,442.3003,565.7709,420.7931,772.5256,3076.308
19910314,436.9688,561.9005,417.9191,767.1717,3083.966
19910315,431.308,563.1815,418.0089,753.8172,3103.72
19910318,427.2448,558.2884,413.5497,755.771,3075.752
19910319,443.9081,557.0822,415.3044,753.9049,3076.026
19910320,449.412,554.4251,413.5559,751.5489,3066.712
19910321,452.6061,556.9981,413.5541,754.9495,3113.627
19910322,446.7656,557.0614,413.5577,757.1788,3106.387
19910325,436.7107,552.0196,409.3472,758.2662,3066.661
19910326,440.216,550.144,406.4444,753.9076,3071.483
19910327,436.0388,545.5892,404.4229,759.6895,3085.339
19910328,440.846,545.9955,406.2838,760.0169,3093.04
19910329,440.846,545.9955,406.2838,760.0169,3093.04
19910401,431.8541,546.5487,410.1553,777.4994,3089.642
19910402,440.7627,555.404,409.1024,772.7168,3114.009
19910403,432.8299,556.2885,412.3474,770.1957,3106.244
19910404,442.4137,556.386,412.1081,767.1838,3069.44
19910405,443.4583,553.9389,411.2593,771.769,3067.705
19910408,450.0664,548.2095,413.48,778.0395,3069.115
19910409,448.9912,550.3203,417.2722,771.1824,3083.405
19910410,463.3687,552.5512,415.7919,773.5704,3061.284
19910411,458.5044,547.1063,414.4052,773.6029,3050.771
19910412,467.699,548.4525,412.5814,774.246,3059.374
19910415,477.3709,546.2356,413.0506,768.264,3077.541
19910416,473.7678,544.8438,413.1809,767.8519,3085.474
19910417,477.5268,552.3686,414.9407,762.3022,3075.121
19910418,470.1164,552.3443,409.3739,756.6879,3050.774
19910419,472.4505,548.2992,407.8054,759.0005,3052.078
19910422,480.4296,544.6229,408.627,757.2905,3066.035
19910423,470.5516,542.7585,407.9173,759.4884,3071.679
19910424,470.3353,539.4336,407.174,758.7182,3072.815
19910425,472.4027,534.3252,404.5468,757.4407,3070.296
19910426,474.9753,528.9665,404.6673,753.7625,3093.5
19910429,474.6294,533.0289,403.4678,744.1435,3097.582
19910430,465.9392,530.3333,407.9504,746.1585,3098.274
19910501,474.0008,530.3184,407.8241,749.2166,3086.163
19910502,472.329,527.3882,407.0881,748.3815,3079.823
19910503,477.4626,517.4998,404.6641,752.2397,3091.227
19910506,484.3892,516.0752,407.691,751.1437,3100.066
19910507,482.1048,513.8672,409.1803,749.4383,3072.167
19910508,485.5457,517.6276,409.5042,744.8015,3043.182
19910509,490.172,517.7052,410.1892,750.5039,3047.239
19910510,478.3786,508.3508,408.9699,748.1761,3045.82
19910513,475.7097,502.708,410.1162,750.6194,3056.843
19910514,472.6468,502.8271,411.899,751.9206,3044.08
19910515,473.9439,507.6288,412.4305,752.762,3035.939
19910516,473.5988,506.2623,407.9325,751.9713,3045.029
19910517,476.901,504.2955,406.793,751.9683,3034.68
19910520,477.5397,505.0738,408.9999,761.4019,2997.828
19910521,475.2279,507.0164,409.4521,764.4264,3011.65
19910522,469.1334,504.925,408.0975,762.7637,3020.401
19910523,471.9581,503.6217,406.9427,759.9683,3045.014
19910524,473.0144,499.4198,408.3533,757.3675,3063.576
19910527,473.0144,499.4198,408.3533,757.3675,3063.576
19910528,476.4176,499.0578,416.6716,752.2722,3076.222
19910529,472.5934,495.0071,414.4069,746.1113,3071.625
19910530,479.5097,491.7417,413.286,742.0887,3047.478
19910531,475.2583,490.1006,411.6388,743.9276,3029.538
19910603,474.4278,486.9071,413.9234,754.3359,3033.905
19910604,472.4997,492.9974,413.4956,755.9145,3027.357
19910605,458.7275,495.1851,413.7262,755.4524,3018.067
19910606,458.1106,492.6813,418.4922,753.0835,3020.103
19910607,456.4461,493.2381,419.8945,759.8178,3030.137
19910610,448.2776,492.3765,427.2353,752.9692,3018.493
19910611,451.864,510.408,424.095,754.3416,3004.052
19910612,453.5996,506.0703,423.1889,757.0013,2992.376
19910613,446.7789,504.417,422.3406,758.5202,3015.075
19910614,446.8236,506.1669,418.1292,752.9155,3011.43
19910617,450.0728,514.4274,419.4725,751.9319,3014.069
19910618,450.7918,508.4976,420.0438,752.2787,3010.774
19910619,446.4668,507.774,419.7627,755.3591,3001.236
19910620,450.7192,510.3765,420.1026,747.8836,3007.438
19910621,451.3836,507.9503,417.6108,733.3911,2991.76
19910624,446.5728,503.4418,414.8354,734.807,2990.648
19910625,447.6598,507.2138,416.2243,740.2337,2998.127
19910626,448.8862,509.3646,417.4782,742.0771,2990.337
19910627,456.6448,511.5656,417.7043,728.128,3001.373
19910628,460.0577,514.0655,420.7091,713.7119,2981.348
19910701,464.807,515.4427,421.457,716.3343,2956.584
19910702,467.7774,521.5466,420.484,715.8533,2962.833
19910703,462.3415,520.5551,422.8162,716.3987,2949.602
19910704,462.3415,520.5551,422.8162,716.3987,2949.602
19910705,467.2666,519.2844,424.1201,709.2624,2955.684
19910708,472.8807,519.649,424.5447,702.9217,2980.506
19910709,474.6678,514.0951,422.6202,704.3789,2966.035
19910710,479.8184,509.6614,422.4941,708.7938,2955.119
19910711,477.2775,506.7648,418.8865,706.8256,2979.546
19910712,486.9539,507.6647,420.2428,716.2943,2991.453
